,,area,decoration_level,distance_to_metro,house_price,num_floor,rooms,unit_price
443,,100.93,精装,990,450,28,3,44585
444,,68.38,毛坯,417,525,6,4,76777
445,,109.43,精装,655,880,27,3,80417
446,,58.54,精装,396,310,6,3,52955
447,,123.39,精装,929,658,13,5,53327
448,,110.96,精装,1139,920,25,4,82913
449,,107.11,精装,1092,530,6,3,49482
450,,110.13,精装,799,999,20,4,90711
451,,104.69,精装,521,520,12,3,49670
452,,95.67,精装,1079,660,22,3,68987
453,,58.25,中装,854,430,18,2,73820
454,,120.78,中装,1367,505,7,4,41812
455,,196.87,豪装,1394,1600,7,6,81272
456,,65.58,精装,541,600,14,3,91491
457,,46,精装,791,390,16,2,84783
458,,125.13,中装,1059,499,6,4,39879
459,,60.4,精装,497,520,6,3,86093
460,,249.99,精装,268,1620,18,6,64803
461,,60.82,精装,452,289,23,2,47517
462,,141.8,简装, ,650,9,5,45839
463,,40.52,简装,846,265,14,2,65400
464,,86.9,简装,339,750,4,4,86306
465,,100.05,精装,892,570,24,4,56972
466,,133.53,精装,993,408,9,5,30555
467,,58.34,精装, ,228,10,2,39081
468,,49.44,精装,600,330,6,2,66748
469,,107.63,中装,252,625,24,4,58069
470,,56.77,精装,438,380,20,2,66937
471,,62.9,简装,382,330,18,2,52464
472,,90.33, ,934,435,18,3,48157
473,,69.72, , ,280,6,3,40161
474,,80.27,简装,744,485,18,3,60421
475,,89.72, ,1154,620,11,4,69104
476,,75.49, ,676,490,6,4,64909
477,,98.29,精装,434,375,32,3,38152
478,,63.73,中装,581,310,6,2,48643
479,,83.82, , ,380,18,3,45335
480,,66, ,1151,900,18,3,136364
481,,71.93, ,1140,350,7,3,48658
482,,174.57, ,906,1450,27,5,83061
483,,106.1,简装,258,820,7,4,77286
484,,260.75, ,1432,1500,8,6,57526
485,,59.2,精装,371,372,15,3,62838
486,,173.72, ,862,920,11,5,52959
487,,74,毛坯,1151,750,16,3,101351
488,,46.1, ,396,275,6,2,59653
489,,143.86, ,382,498,13,4,34617
490,,72.44,中装,834,650,21,3,89729
491,,95.91, ,630,630,20,4,65687
492,,96.7, ,711,410,28,3,42399
493,,90.89,精装,374,530,12,3,58312
494,,89.41, ,1076,435,10,3,48652
495,,108.79, ,258,900,7,5,82728
496,,43.2, ,360,430,16,3,99537
497,,72.41,简装,471,910,6,3,125673
498,,65.9, ,1151,880,12,3,133536
499,,36.1, ,250,270,6,2,74792
500,,125.16, ,191,580,6,5,46341
501,,66.62,精装,454,290,6,3,43530
502,,49.8,毛坯,1240,410,16,3,82329
503,,146.11, ,632,1200,24,5,82130
504,,87.29, ,1006,420,14,4,48115
505,,48.66, ,1178,255,6,3,52404
506,,57.4, ,1093,528,6,3,91986
507,,166.82,精装,559,1800,17,5,107901
508,,61.97,精装,689,495,6,3,79877
509,,88.58, ,246,465,6,3,52495
510,,103.22, ,348,630,16,4,61035
511,,56.92,精装,1252,530,5,3,93113
512,,74.7, ,810,600,17,4,80321
513,,129.79,精装,162,602,29,5,46383
514,,48.05, ,335,312,24,2,64932
515,,93.59, ,760,675,26,3,72123
516,,144.1,简装,162,640,29,5,44414
517,,63.91,精装,409,395,20,3,61806
518,,72.66,精装,819,380,26,2,52298
519,,107.5, ,1076,560,10,5,52093
